"Date","Price","Open","High","Low","Vol.","Change %"
"29-12-2022","60.85","59.50","61.55","59.00","24.97M","1.16%"
"28-12-2022","60.15","58.50","60.80","57.85","70.50M","2.04%"
"27-12-2022","58.95","59.40","60.60","58.50","54.21M","1.38%"
"26-12-2022","58.15","53.95","59.75","53.45","83.57M","8.39%"
"23-12-2022","53.65","58.30","58.35","53.20","93.02M","-8.99%"
"22-12-2022","58.95","61.80","62.05","58.55","53.94M","-3.91%"
"21-12-2022","61.35","63.20","63.50","60.85","39.98M","-2.39%"
"20-12-2022","62.85","62.10","63.20","61.90","32.49M","1.13%"
"19-12-2022","62.15","62.40","62.80","62.00","21.47M","0.00%"
"16-12-2022","62.15","63.75","64.00","61.85","48.22M","-3.12%"
"15-12-2022","64.15","64.95","65.25","63.80","19.01M","-1.31%"
"14-12-2022","65.00","64.85","65.45","64.60","24.60M","0.62%"
"13-12-2022","64.60","64.80","65.20","64.35","21.92M","0.31%"
"12-12-2022","64.40","64.15","64.75","63.60","20.60M","0.39%"
"09-12-2022","64.15","64.20","64.85","63.90","36.49M","0.55%"
"08-12-2022","63.80","64.80","64.80","63.65","35.34M","-1.01%"
"07-12-2022","64.45","65.10","65.40","64.10","29.78M","-0.54%"
"06-12-2022","64.80","64.75","65.45","64.45","40.04M","-0.99%"
"05-12-2022","65.45","68.85","69.00","65.00","85.11M","-4.52%"
"02-12-2022","68.55","66.75","68.90","66.50","96.26M","2.85%"
"01-12-2022","66.65","66.50","67.15","65.40","83.61M","2.15%"
"30-11-2022","65.25","63.00","66.80","61.90","549.72M","2.68%"
"29-11-2022","63.55","64.40","64.90","63.00","32.23M","-1.32%"
"28-11-2022","64.40","64.25","65.30","63.80","53.45M","0.63%"
"25-11-2022","64.00","64.00","64.90","63.05","74.24M","1.27%"
"24-11-2022","63.20","62.30","64.10","62.05","90.68M","2.35%"
"23-11-2022","61.75","63.50","64.30","61.40","69.82M","-3.44%"
"22-11-2022","63.95","64.90","64.90","63.30","50.72M","-0.54%"
"21-11-2022","64.30","66.40","66.40","63.80","86.00M","-4.24%"
"18-11-2022","67.15","68.15","69.35","66.90","62.86M","-0.81%"
"17-11-2022","67.70","68.40","69.80","67.50","60.12M","-1.46%"
"16-11-2022","68.70","69.95","70.50","67.70","75.43M","-1.79%"
"15-11-2022","69.95","69.60","71.15","69.10","68.40M","0.50%"
"14-11-2022","69.60","74.30","75.45","69.05","186.73M","-4.40%"
"11-11-2022","72.80","66.00","73.55","65.50","397.76M","13.84%"
"10-11-2022","63.95","65.50","65.95","63.15","44.33M","-2.07%"
"09-11-2022","65.30","65.45","67.50","65.00","87.43M","0.31%"
"07-11-2022","65.10","63.85","65.45","63.25","56.82M","3.33%"
"04-11-2022","63.00","62.75","63.65","62.45","35.30M","1.29%"
"03-11-2022","62.20","62.80","62.80","62.00","31.73M","-1.27%"
"02-11-2022","63.00","63.75","64.70","62.70","52.92M","-0.79%"
"01-11-2022","63.50","63.50","63.75","62.70","50.43M","0.63%"
"31-10-2022","63.10","63.60","63.85","62.10","45.95M","0.80%"
